portable operating systems
22. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1564.html score=0.2744149
23. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2374.html score=0.27300897
24. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3005.html score=0.2618656
25. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2033.html score=0.2612539
26. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1651.html score=0.2491475
27. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2611.html score=0.24538572
28. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3053.html score=0.24338
29. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2858.html score=0.24338
30. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3054.html score=0.24067588
31. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0267.html score=0.24041982
32. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0230.html score=0.23876981
33. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0797.html score=0.23876981
34. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1289.html score=0.23876981
35. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1064.html score=0.23876981
36. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2856.html score=0.23872633
37. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2433.html score=0.23440266
38. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1234.html score=0.23174235
39. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2701.html score=0.22342867
40. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1901.html score=0.22279723
41. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0066.html score=0.22077309
42. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1757.html score=0.2110447
43. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1542.html score=0.21063448
44. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2133.html score=0.2103306
45. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1414.html score=0.20892361
46. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1275.html score=0.20892361
47. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2835.html score=0.20704551
48. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0149.html score=0.20607412
49. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1992.html score=0.2025808
50. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1670.html score=0.2025808
51. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2722.html score=0.19928868
52. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2745.html score=0.19871782
53. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2734.html score=0.19716044
54. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2530.html score=0.18245824
55. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3129.html score=0.17917313
56. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1065.html score=0.17907737
57. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2586.html score=0.17907737
58. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0048.html score=0.1770742
59. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1362.html score=0.1770742
60. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2711.html score=0.1756434
61. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2078.html score=0.17527638
62. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1807.html score=0.17388842
63. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1235.html score=0.16850759
64. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1223.html score=0.16849445
65. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3083.html score=0.16805531
66. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1369.html score=0.16525213
67. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1204.html score=0.15769506
68. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2645.html score=0.15534298
69. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2892.html score=0.15145878
70. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1708.html score=0.14961317
71. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0093.html score=0.14923114
72. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2389.html score=0.14903837
73. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2863.html score=0.14903837
74. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1652.html score=0.14447987
75. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1676.html score=0.1443138
76. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2836.html score=0.14364786
77. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2524.html score=0.14145479
78. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1465.html score=0.14063807
79. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2126.html score=0.13738275
80. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1523.html score=0.13670294
81. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2230.html score=0.13619934
82. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1331.html score=0.13052358
83. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2498.html score=0.12901746
84. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0794.html score=0.12840997
85. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2344.html score=0.12833469
86. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2950.html score=0.12741522
87. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1551.html score=0.12615605
88. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0124.html score=0.12615605
89. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1270.html score=0.12613465
90. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1429.html score=0.12613465
91. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1352.html score=0.12613465
92. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2365.html score=0.12613465
93. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2816.html score=0.12419865
94. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2249.html score=0.12393911
95. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1030.html score=0.12321434
96. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0693.html score=0.12269286
97. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1786.html score=0.121548474
98. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3175.html score=0.121548474
99. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3064.html score=0.12143034
100. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0164.html score=0.12103579
code optimization for space efficiency Term Frequency 0 - Document Frequency 0

parallel algorithms
Found 100 hits.
1. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2973.html score=1.0090959
2. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3075.html score=0.91406745
3. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2557.html score=0.83246166
4. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2266.html score=0.8262599
5. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3156.html score=0.8262599
6. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1601.html score=0.7677403
7. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0950.html score=0.68854994
8. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1468.html score=0.68854994
9. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2433.html score=0.59461546
10. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2570.html score=0.59461546
11. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2289.html score=0.56908125
12. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1957.html score=0.5666373
13. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2838.html score=0.5342307
14. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2692.html score=0.4833888
15. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0392.html score=0.47286817
16. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2714.html score=0.47286817
17. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1302.html score=0.47286817
18. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0141.html score=0.47286817
19. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2114.html score=0.4721977
20. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2723.html score=0.4721977
21. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2182.html score=0.41375965
22. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2685.html score=0.40951586
23. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2896.html score=0.35832638
24. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1795.html score=0.35465112
25. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1828.html score=0.35465112
26. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2700.html score=0.35465112
27. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1367.html score=0.35465112
28. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1262.html score=0.35465112
29. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2007.html score=0.35331023
30. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0371.html score=0.34975925
31. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1158.html score=0.3343683
32. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2785.html score=0.3071369
33. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1796.html score=0.29979366
34. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2952.html score=0.2955426
35. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2895.html score=0.29257226
36. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1811.html score=0.28957143
37. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1342.html score=0.28264818
38. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1952.html score=0.28264818
39. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0804.html score=0.28264818
40. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2325.html score=0.28264818
41. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1660.html score=0.28264818
42. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-0270.html score=0.28264818
43. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2851.html score=0.26434135
44. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2342.html score=0.26434135
45. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3059.html score=0.2559474
46. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2865.html score=0.2559474
47. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2401.html score=0.2559474
48. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3073.html score=0.25077623
49. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2080.html score=0.25077623
50. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2226.html score=0.24731715
51. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2417.html score=0.24731715
52. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1374.html score=0.24731715
53. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1851.html score=0.24731715
54. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2725.html score=0.24731715
55. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1953.html score=0.24731715
56. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2830.html score=0.24731715
57. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1551.html score=0.2447805
58. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3044.html score=0.23643409
59. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1569.html score=0.23643409
60. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2884.html score=0.23369274
61. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2950.html score=0.21635744
62. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2902.html score=0.21635744
63. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3166.html score=0.21635744
64. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2362.html score=0.21198612
65. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2222.html score=0.21198612
66. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2505.html score=0.21198612
67. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2025.html score=0.21198612
68. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1658.html score=0.21198612
69. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2863.html score=0.21198612
70. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2942.html score=0.21198612
71. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3061.html score=0.21198612
72. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2740.html score=0.20898017
73. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1008.html score=0.20687982
74. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1380.html score=0.20687982
75. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2727.html score=0.20687982
76. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1200.html score=0.20687982
77. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1846.html score=0.20475793
78. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1747.html score=0.20475793
79. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2175.html score=0.20475793
80. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2195.html score=0.20475793
81. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1873.html score=0.19986244
82. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2272.html score=0.19986244
83. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2273.html score=0.19750641
84. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2283.html score=0.19750641
85. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1924.html score=0.19750641
86. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-3006.html score=0.19750641
87. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2146.html score=0.19750641
88. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2903.html score=0.19750641
89. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2997.html score=0.18358538
90. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2490.html score=0.18358538
91. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-2679.html score=0.18358538
92. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1392.html score=0.18358538
93. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1341.html score=0.17732556
94. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1554.html score=0.17732556
95. /home/mukul/IdeaProjects/LuceneSearch/input/cacm/CACM-1471.html score=0.17732556
